Date,Open,High,Low,Close,Volume
2015-04-21,71424,74267,71089,71675,2335349
2015-04-22,72093,74602,67576,71005,3536057
2015-04-23,70922,71591,67326,67576,2444408
2015-04-24,67409,69500,65820,68245,2511409
2015-04-27,68329,70002,68078,68496,1055067
2015-04-28,68413,74936,67326,72344,4140931
2015-04-29,72427,73096,70336,71340,1373094
2015-04-30,71005,73598,69082,71675,1969962
2015-05-04,70838,73096,70671,71173,780216
2015-05-06,71173,72427,70755,70755,793009
2015-05-07,70504,70922,68245,69165,1105980
2015-05-08,71256,71842,69835,69835,1274329
2015-05-11,69500,70002,68496,68580,968272
2015-05-12,68413,69500,67326,67326,825151
2015-05-13,67326,70336,64733,68413,2352935
2015-05-14,67995,70838,67075,68413,1595834
2015-05-15,69918,71256,69333,69584,1626523
2015-05-18,70253,70420,68078,68245,1135333
2015-05-19,68329,69667,67075,67660,1352919
2015-05-20,67576,68413,65067,66824,2088224
2015-05-21,68496,69667,65987,65987,2291467
2015-05-22,65820,66824,64566,64816,1265191
2015-05-26,64064,64398,59464,59882,2768531
2015-05-27,60467,61304,57624,59046,2319191
2015-05-28,59297,61638,58377,59798,1969439
2015-05-29,59798,60635,57708,57708,1437340
2015-06-01,58042,60217,57708,59129,1314063
2015-06-02,60467,60467,57791,58209,975497
2015-06-03,57791,58460,54613,54613,1645259
2015-06-04,54697,56871,54613,56871,1094007
2015-06-05,56704,63060,56453,60467,3166406
2015-06-08,62809,66656,61889,66489,3383074
2015-06-09,66907,68413,64649,65151,1920710
2015-06-10,64984,65151,61889,62809,1813266
2015-06-11,64398,65235,62140,62140,1466727
2015-06-12,62140,63646,61304,62140,1056994
2015-06-15,61806,63813,61555,62809,760701
2015-06-16,62893,63227,60049,60886,905052
2015-06-17,60969,69500,60384,66155,3362585
2015-06-18,67744,70169,66489,66991,2315101
2015-06-19,67744,68245,65653,66991,1061268
2015-06-22,70085,73933,70002,70922,3350992
2015-06-23,72344,72595,68831,69249,1821801
2015-06-24,69333,69835,68245,69416,1090011
2015-06-25,69416,70671,68329,68329,935918
2015-06-26,68413,69165,66406,66489,1404287
2015-06-29,64900,67911,64482,65736,1199275
2015-06-30,65820,66656,64064,65235,966723
2015-07-01,65402,69333,64900,68580,1437867
2015-07-02,69249,70169,68162,69165,1107266
2015-07-03,68998,68998,66907,67158,1021098
2015-07-06,66071,68831,65653,65736,1258301
2015-07-07,68998,71089,65987,67744,3316410
2015-07-08,67242,67995,64147,64649,1448527
2015-07-09,63646,64816,61806,64398,1203735
2015-07-10,65235,65904,63562,63646,765677
2015-07-13,62726,66656,62642,65653,1058842
2015-07-14,66991,67409,65235,65318,651538
2015-07-15,66406,70085,65820,69416,2865210
2015-07-16,70671,71591,68747,69500,1667570
2015-07-17,70838,71256,68580,69416,1536638
2015-07-20,69751,69751,67995,68413,708744
2015-07-21,68915,69500,67242,67660,695852
2015-07-22,67744,68831,66740,68329,885324
2015-07-23,68580,68747,67158,67326,542679
2015-07-24,67409,69500,66824,68413,801062
2015-07-27,68496,68998,66155,66155,954887
2015-07-28,65151,66238,63980,65486,731235
2015-07-29,65653,66991,63729,63729,753317
2015-07-30,63980,66071,62893,63896,790654
2015-07-31,63729,65235,63395,65151,434197
2015-08-03,65151,65736,64315,64315,357783
2015-08-04,63813,67326,63729,67326,922630
2015-08-05,69082,70504,68413,69416,2256571
2015-08-06,69416,70838,68998,70504,1208696
2015-08-07,69584,69667,68329,68664,778393
2015-08-10,68915,70504,68413,70253,912271
2015-08-11,71591,71675,67326,67326,1143435
2015-08-12,66489,68162,65736,67827,945896
2015-08-13,67493,68998,67326,67995,514982
2015-08-17,66656,67744,66406,66489,658890
2015-08-18,67075,67409,64984,64984,653528
2015-08-19,64649,64900,59966,61555,1588715
2015-08-20,61304,61889,58544,58627,1559311
2015-08-21,55533,56871,53359,54362,2383047
2015-08-24,53944,55198,51435,51602,1959596
2015-08-25,53191,59046,51351,58962,2760815
2015-08-26,58126,60133,57791,59882,1254912
2015-08-27,61053,62726,59798,59882,1137746
2015-08-28,61722,61722,59882,60635,654035
2015-08-31,60718,60802,58962,59380,840615
2015-09-01,58627,60300,58377,58795,518135
2015-09-02,57624,59380,57122,59380,632266
2015-09-03,59631,60049,57708,57958,614840
2015-09-04,58544,58544,55449,56035,671226
2015-09-07,55700,58544,54864,56537,537611
2015-09-08,55951,57038,54613,54864,486191
2015-09-09,56620,58795,56202,58377,710007
2015-09-10,57289,58042,56704,58042,493442
2015-09-11,59297,62057,58711,59798,1180820
2015-09-14,59966,60300,58126,58627,418883
2015-09-15,58795,59966,58126,59297,347306
2015-09-16,60049,60384,58795,59464,410374
2015-09-17,60133,60133,57289,57289,644403
2015-09-18,58293,60467,58209,60049,920642
2015-09-21,60217,61053,59798,60049,587835
2015-09-22,60049,60133,58962,59547,377368
2015-09-23,58795,59715,58293,58377,460699
2015-09-24,59297,60300,58878,58878,378786
2015-09-25,59966,60467,58377,58460,457193
2015-09-30,57875,58209,56202,56788,692508
2015-10-01,57540,57791,56620,56955,454963
2015-10-02,57373,60049,57122,58544,777517
2015-10-05,59464,59882,58126,58293,430751
2015-10-06,59380,59380,58460,58711,362511
2015-10-07,58962,59631,57791,58126,469927
2015-10-08,58878,59464,58126,58544,390156
2015-10-12,58126,58544,57708,57875,295743
2015-10-13,58042,60217,58042,60217,729759
2015-10-14,60635,60718,59380,59715,463158
2015-10-15,59798,60384,59213,59715,303359
2015-10-16,60718,62140,60635,61806,1032790
2015-10-19,61973,64900,61387,64900,1352180
2015-10-20,64900,65486,64064,64816,643297
2015-10-21,65235,66824,64816,64816,723871
2015-10-22,64315,64900,62977,62977,592463
2015-10-23,64398,65569,63729,65235,705882
2015-10-26,65235,66071,64064,65402,570888
2015-10-27,65736,65736,62893,63562,803954
2015-10-28,62391,70504,61053,66573,3586646
2015-10-29,66071,66573,64482,64482,890850
2015-10-30,65067,66322,63562,64398,634501
2015-11-02,63896,64482,63144,63227,375181
2015-11-03,63980,64816,63144,63395,406192
2015-11-04,63311,63646,62307,63562,472454
2015-11-05,63646,64064,63311,63562,404762
2015-11-06,64984,65402,63311,63813,826233
2015-11-09,63896,64984,61889,64398,813439
2015-11-10,65151,66322,63227,63395,1080623
2015-11-11,63478,66907,63227,66824,2002354
2015-11-12,68329,70253,67911,68162,2730642
2015-11-13,68580,69667,67744,69249,1212471
2015-11-16,68580,70002,68329,68664,877528
2015-11-17,69751,72009,68831,72009,1597995
2015-11-18,72176,75271,71256,74602,2566865
2015-11-19,76274,78365,74936,75856,2487729
2015-11-20,75689,76944,75020,76442,1044090
2015-11-23,76860,77278,74267,75856,1326119
2015-11-24,75856,76024,74267,75605,986124
2015-11-25,75689,76024,73682,73682,914277
2015-11-26,73765,74434,73347,73598,773826
2015-11-27,73933,74267,72678,73180,586207
2015-11-30,73013,73431,71173,72176,1195772
2015-12-01,72009,73514,71424,73180,868082
2015-12-02,73180,74351,72176,72176,803753
2015-12-03,72176,73514,71675,73431,540112
2015-12-04,72511,73096,72344,72511,458637
2015-12-07,73180,73264,70169,70169,912776
